iter	Passed	Remaining
0	136	136173
1	137	68396
2	137	45789
3	138	34464
4	139	27662
5	139	23125
6	140	19884
7	140	17453
8	141	15566
9	141	14052
10	142	12814
11	143	11784
12	143	10917
13	144	10179
14	145	9539
15	145	8975
16	146	8479
17	147	8033
18	147	7635
19	148	7279
20	149	6953
21	149	6658
22	150	6389
23	151	6141
24	151	5917
25	152	5711
26	153	5520
27	153	5339
28	154	5170
29	154	5011
30	155	4862
31	156	4723
32	156	4593
33	157	4470
34	157	4354
35	158	4245
36	159	4141
37	159	4043
38	160	3950
39	160	3861
40	161	3776
41	162	3697
42	162	3620
43	163	3547
44	163	3477
45	164	3411
46	165	3347
47	165	3286
48	166	3228
49	166	3171
50	167	3117
51	168	3064
52	168	3014
53	169	2965
54	169	2918
55	170	2873
56	171	2829
57	171	2788
58	172	2751
59	173	2715
60	174	2678
61	174	2643
62	175	2609
63	176	2576
64	176	2543
65	177	2510
66	178	2478
67	178	2447
68	179	2418
69	179	2390
70	180	2362
71	181	2334
72	181	2307
73	182	2281
74	182	2255
75	183	2230
76	184	2206
77	184	2182
78	185	2161
79	186	2140
80	186	2120
81	187	2100
82	187	2076
83	188	2056
84	189	2036
85	189	2016
86	190	1998
87	191	1980
88	191	1963
89	192	1945
90	193	1928
91	193	1911
92	194	1895
93	195	1879
94	195	1864
95	196	1849
96	196	1833
97	197	1818
98	198	1803
99	198	1788
100	199	1774
101	199	1760
102	200	1746
103	201	1732
104	201	1719
105	202	1707
106	203	1695
107	203	1684
108	204	1673
109	205	1661
110	205	1649
111	206	1637
112	207	1626
113	207	1614
114	208	1603
115	209	1592
116	209	1581
117	210	1571
118	210	1560
119	211	1550
120	211	1539
121	212	1528
122	213	1518
123	213	1509
124	214	1499
125	214	1490
126	215	1480
127	215	1471
128	216	1462
129	217	1454
130	217	1445
131	218	1436
132	219	1428
133	219	1420
134	220	1411
135	220	1403
136	221	1395
137	222	1387
138	222	1379
139	223	1371
140	223	1364
141	224	1356
142	225	1348
143	225	1341
144	226	1334
145	226	1326
146	227	1319
147	227	1312
148	228	1305
149	229	1298
150	229	1292
151	230	1285
152	230	1278
153	231	1273
154	232	1267
155	233	1261
156	233	1254
157	234	1248
158	234	1242
159	235	1236
160	235	1229
161	236	1223
162	237	1217
163	237	1212
164	238	1206
165	239	1202
166	239	1197
167	240	1191
168	241	1186
169	241	1181
170	242	1176
171	243	1171
172	243	1166
173	244	1161
174	245	1156
175	245	1151
176	246	1147
177	247	1142
178	248	1137
179	248	1133
180	249	1128
181	250	1123
182	250	1119
183	251	1114
184	251	1109
185	252	1104
186	253	1100
187	253	1095
188	254	1091
189	255	1087
190	255	1083
191	256	1078
192	256	1074
193	257	1069
194	258	1065
195	258	1061
196	259	1056
