iter	Passed	Remaining
0	135	135463
1	136	68083
2	137	45650
3	138	34400
4	139	27694
5	140	23206
6	140	19991
7	141	17577
8	142	15689
9	143	14170
10	143	12920
11	144	11879
12	144	10996
13	145	10252
14	146	9606
15	147	9042
16	147	8548
17	148	8101
18	149	7697
19	149	7333
20	150	7004
21	150	6705
22	151	6432
23	151	6181
24	152	5950
25	153	5736
26	153	5538
27	154	5359
28	155	5197
29	155	5043
30	156	4896
31	157	4759
32	158	4631
33	158	4510
34	159	4393
35	159	4283
36	160	4178
37	161	4078
38	161	3984
39	162	3895
40	162	3810
41	163	3729
42	164	3652
43	164	3578
44	165	3507
45	165	3439
46	166	3375
47	167	3313
48	167	3253
49	168	3196
50	168	3141
51	169	3089
52	170	3038
53	170	2989
54	171	2941
55	171	2896
56	172	2851
57	172	2808
58	173	2767
59	174	2727
60	174	2688
61	175	2651
62	175	2615
63	176	2582
64	177	2552
65	178	2521
66	178	2491
67	179	2460
68	180	2430
69	180	2400
70	181	2371
71	181	2343
72	182	2316
73	182	2289
74	183	2263
75	184	2241
76	185	2218
77	185	2194
78	186	2170
79	186	2147
80	187	2126
81	188	2106
82	188	2082
83	189	2063
84	189	2044
85	190	2024
86	191	2005
87	191	1987
88	192	1968
89	192	1950
90	193	1932
91	194	1915
92	194	1898
93	195	1881
94	195	1864
95	196	1848
96	196	1833
97	197	1817
98	198	1802
99	199	1791
100	199	1777
101	200	1763
102	200	1749
103	201	1736
104	202	1722
105	202	1709
106	203	1696
107	203	1684
108	204	1671
109	205	1659
110	205	1646
111	206	1635
112	206	1624
113	207	1612
114	208	1601
115	208	1590
116	209	1578
117	209	1567
118	210	1556
119	210	1546
120	211	1536
121	211	1525
122	212	1515
123	213	1505
124	213	1496
125	214	1487
126	214	1476
127	215	1467
128	216	1458
129	216	1450
130	217	1441
131	217	1432
132	218	1423
133	218	1415
134	219	1406
135	220	1398
136	220	1391
137	221	1383
138	222	1375
139	222	1368
140	223	1360
141	223	1351
142	224	1344
143	224	1337
144	225	1329
145	226	1322
146	226	1315
147	227	1308
148	227	1301
149	228	1295
150	229	1289
151	230	1284
152	230	1277
153	231	1270
154	231	1264
155	232	1258
156	233	1251
157	233	1245
158	234	1239
159	234	1233
160	235	1226
161	236	1221
162	236	1215
163	237	1209
164	237	1204
165	238	1198
166	239	1192
167	239	1187
168	240	1181
169	240	1176
170	241	1170
171	242	1165
172	242	1159
173	243	1155
174	244	1150
175	244	1145
176	245	1140
177	245	1135
178	246	1130
179	246	1125
180	247	1120
181	248	1115
182	248	1110
183	249	1105
184	249	1100
185	250	1096
186	251	1091
187	251	1087
188	252	1083
189	253	1079
190	253	1075
191	254	1071
192	255	1066
193	255	1062
194	256	1057
195	256	1053
196	257	1049
197	258	1045
198	258	1041
199	259	1037
200	260	1033
201	260	1029
202	261	1025
203	261	1021
204	262	1017
205	262	1013
206	263	1009
207	264	1005
208	264	1001
209	265	997
210	265	994
211	266	990
212	267	986
213	267	983
214	268	979
215	268	975
216	269	972
217	270	968
218	270	964
219	271	961
220	271	957
221	272	954
222	272	951
223	273	947
224	274	944
225	274	941
226	275	937
227	275	934
228	276	930
229	277	927
230	277	924
231	278	921
232	278	918
233	279	914
234	280	911
235	280	908
236	281	905
237	281	902
238	282	899
239	283	896
240	283	893
241	284	890
242	284	887
243	285	884
244	285	881
245	286	878
246	287	875
247	287	873
248	288	870
249	289	868
250	290	865
251	290	862
252	291	860
253	291	857
254	292	855
255	293	852
256	294	850
257	294	847
258	295	845
259	296	842
260	296	840
261	297	837
262	297	834
263	298	832
264	299	829
265	299	827
266	300	824
267	300	822
268	301	819
269	302	817
270	303	815
271	303	812
272	304	810
273	304	807
274	305	805
275	306	802
276	306	800
277	307	797
278	307	795
279	308	793
280	309	790
281	309	788
282	310	786
283	311	784
284	311	781
285	312	779
286	312	777
287	313	775
288	314	772
289	314	770
290	315	768
291	315	766
292	316	763
293	317	761
294	317	759
295	318	757
296	319	755
297	319	753
298	320	751
299	321	749
300	321	747
301	322	745
302	323	743
303	323	741
304	324	738
305	324	736
306	325	735
307	326	733
308	327	731
309	327	729
310	328	727
311	328	725
312	329	723
313	330	721
314	330	719
315	331	717
316	331	714
317	332	713
318	333	711
319	333	709
320	334	707
321	335	705
322	335	703
323	336	701
324	336	699
325	337	697
326	338	695
327	338	694
328	339	692
329	340	690
330	340	688
331	341	686
332	342	685
333	342	683
334	343	681
335	343	679
336	344	677
337	345	675
338	345	674
339	346	672
340	347	671
341	347	669
342	348	667
343	349	665
344	349	664
345	350	662
346	351	660
347	351	659
348	352	657
349	353	655
350	353	653
351	354	652
352	354	650
353	355	648
354	356	647
355	356	645
356	357	643
357	358	642
358	358	640
359	359	639
360	360	637
361	360	635
362	361	634
363	362	632
364	362	631
365	363	629
366	364	628
367	364	626
368	365	624
369	366	623
370	366	621
371	367	620
372	368	618
373	368	617
374	369	615
375	370	614
376	370	612
377	371	611
378	372	609
379	372	608
380	373	606
381	374	605
382	374	603
383	375	602
384	375	600
385	376	599
386	377	597
387	378	596
388	378	594
389	379	593
390	379	591
391	380	590
392	381	588
393	381	587
394	382	585
395	382	584
396	383	582
397	384	581
398	385	580
399	385	578
400	386	577
401	386	575
402	387	574
403	388	572
404	388	571
405	389	569
406	390	568
407	390	566
408	391	565
409	391	563
410	392	562
411	393	561
412	393	559
413	394	558
414	395	556
415	395	555
416	396	553
417	396	552
418	397	551
419	398	549
420	398	548
421	399	547
422	400	545
423	400	544
424	401	543
425	402	541
426	402	540
427	403	539
428	404	537
429	404	536
430	405	535
431	405	533
432	406	532
433	407	531
434	407	529
435	408	528
436	409	527
437	409	525
438	410	524
439	410	523
440	411	521
441	412	520
442	412	518
443	413	517
444	414	516
445	414	515
446	415	514
447	416	513
448	417	512
449	417	510
450	418	509
451	419	508
452	419	506
453	420	505
454	421	504
455	421	503
456	422	501
457	423	500
458	423	499
459	424	498
460	425	497
461	426	496
462	426	495
463	427	494
464	428	493
465	429	492
466	430	490
467	430	489
468	431	488
469	432	487
470	432	486
471	433	485
472	434	483
473	434	482
474	435	481
475	436	480
476	437	479
477	437	478
478	438	476
479	439	475
480	439	474
481	440	473
482	441	472
483	441	471
484	442	469
485	443	468
486	444	468
487	445	467
488	446	466
489	446	465
490	447	463
491	448	462
492	448	461
493	449	460
494	450	459
495	450	458
496	451	457
497	452	456
498	453	455
499	454	454
500	454	452
501	455	451
502	456	450
503	456	449
504	457	448
505	458	447
506	459	446
507	459	445
508	460	444
509	461	443
510	461	442
511	462	440
512	463	439
513	464	438
514	464	437
515	465	436
516	466	435
517	466	434
518	467	433
519	468	432
520	469	431
521	469	430
522	470	429
523	471	428
524	472	427
525	472	426
526	473	425
527	474	424
528	475	423
529	475	422
530	476	420
531	477	419
532	478	418
533	478	417
534	479	416
535	480	415
536	480	414
537	481	413
538	482	412
539	483	411
540	484	411
541	485	410
542	486	409
543	486	408
544	487	407
545	488	405
546	488	404
547	489	403
548	490	402
549	491	401
550	491	400
551	492	399
